,chl_a
8.4,3.423921389805872
8.5,3.4763373355590024
8.6,3.5294801550010537
8.700000000000001,3.5833247475189354
8.8,3.637844380523509
8.9,3.69301068940016
9.0,3.7487936809945284
9.1,3.8051617407233045
9.200000000000001,3.862081643391471
9.3,3.919518567788372
9.4,3.977436115125483
9.5,4.035796331368765
9.600000000000001,4.094559733508074
9.700000000000001,4.1536853397952385
9.8,4.2131307039712205
9.9,4.2728519534911715
10.0,4.332803831744309
10.100000000000001,4.3929397442534075
10.200000000000001,4.453211808826238
10.3,4.513570909618775
10.4,4.5739667550571745
10.5,4.6343479395527485
10.600000000000001,4.694662008931235
10.700000000000001,4.7548555294847725
10.8,4.814874160542163
10.9,4.874662730440201
11.0,4.9341653157662915
11.100000000000001,4.993325323730154
11.200000000000001,5.052085577510239
11.3,5.1103884044086625
11.4,5.168175726636971
11.5,5.22538915454391
11.600000000000001,5.281970082085822
11.700000000000001,5.3378597843301
11.8,5.392999516772603
11.9,5.44733061624094
12.0,5.500794603147228
12.100000000000001,5.553333284846255
12.200000000000001,5.604888859848117
12.3,5.6554040226282005
12.4,5.704822068772069
12.5,5.753087000188266
12.600000000000001,5.800143630118415
12.700000000000001,5.845937687671196
12.8,5.890415921604925
12.9,5.9335262030825255
13.0,5.975217627122639
13.100000000000001,6.015440612471622
13.200000000000001,6.054146999623017
13.3,6.091290146714011
13.4,6.126825023032115
13.5,6.1607082998701905
13.600000000000001,6.192898438473522
13.700000000000001,6.2233557748293915
13.8,6.252042601057063
13.9,6.278923243164579
14.0,6.303964134948034
14.100000000000001,6.327133887819125
14.200000000000001,6.348403356357689
14.3,6.367745699397677
14.4,6.385136436467313
14.5,6.4005534994173825
14.600000000000001,6.413977279085213
14.700000000000001,6.42539066685625
14.8,6.434779090999918
14.9,6.4421305476717325
15.0,6.447435626489359
15.100000000000001,6.450687530606315
15.200000000000001,6.451882091223382
15.3,6.451017776494382
15.4,6.448095694799637
15.5,6.443119592377373
15.600000000000001,6.436095845320118
15.700000000000001,6.427033445960047
15.8,6.41594398368396
15.9,6.402841620235186
16.0,6.387743059576108
16.1,6.370667512401049
16.2,6.3516366554050965
16.3,6.330674585429701
16.400000000000002,6.307807768620872
16.5,6.283064984750078
16.6,6.256477266861815
16.7,6.228077836425001
16.8,6.1979020341778135
16.900000000000002,6.165987246867445
17.0,6.132372830097278
17.1,6.0971000275042115
17.2,6.060211886498369
17.3,6.021753170805903
17.400000000000002,5.981770270063382
17.5,5.940311106718967
17.6,5.897425040501469
17.7,5.853162770723328
17.8,5.807576236687435
17.900000000000002,5.760718516470845
18.0,5.712643724360381
18.1,5.6634069072162845
18.2,5.613063940040204
18.3,5.561671421023002
18.400000000000002,5.509286566346166
18.5,5.455967105007936
18.6,5.401771173941796
18.7,5.346757213690557
18.8,5.290983864894038
18.900000000000002,5.234509865842369
19.0,5.1773939513401
