nom du projet;nom du site;nom de la plateforme;date prelevement;profondeur min réelle observée (m);profondeur max réelle observée (m);chlorophylle a strickland-parsons (µg/l);chlorophylle a scor-unesco (µg/l)
Suivi des lacs;Léman;SHL2;15/12/2016;5.0;5.0;;3.19
Suivi des lacs;Léman;SHL2;15/12/2016;7.5;7.5;;3.08
Suivi des lacs;Léman;SHL2;15/12/2016;10.0;10.0;;3.02
Suivi des lacs;Léman;SHL2;15/12/2016;15.0;15.0;;3.05
Suivi des lacs;Léman;SHL2;15/12/2016;20.0;20.0;;2.97
Suivi des lacs;Léman;SHL2;15/12/2016;30.0;30.0;;0.44
Suivi des lacs;Léman;SHL2;30/01/2017;0.0;0.0;;1.27
Suivi des lacs;Léman;SHL2;30/01/2017;1.0;1.0;;1.33
Suivi des lacs;Léman;SHL2;30/01/2017;2.5;2.5;;1.34
Suivi des lacs;Léman;SHL2;30/01/2017;3.5;3.5;;1.35
Suivi des lacs;Léman;SHL2;30/01/2017;5.0;5.0;;1.31
Suivi des lacs;Léman;SHL2;30/01/2017;7.5;7.5;;1.36
Suivi des lacs;Léman;SHL2;30/01/2017;10.0;10.0;;1.41
Suivi des lacs;Léman;SHL2;30/01/2017;15.0;15.0;;1.36
Suivi des lacs;Léman;SHL2;30/01/2017;20.0;20.0;;1.3
Suivi des lacs;Léman;SHL2;30/01/2017;30.0;30.0;;1.34
Suivi des lacs;Léman;SHL2;15/02/2017;0.0;0.0;;1.09
Suivi des lacs;Léman;SHL2;15/02/2017;1.0;1.0;;1.2
Suivi des lacs;Léman;SHL2;15/02/2017;2.5;2.5;;1.33
Suivi des lacs;Léman;SHL2;15/02/2017;3.5;3.5;;1.34
Suivi des lacs;Léman;SHL2;15/02/2017;5.0;5.0;;1.26
Suivi des lacs;Léman;SHL2;15/02/2017;7.5;7.5;;1.29
Suivi des lacs;Léman;SHL2;15/02/2017;10.0;10.0;;1.3
Suivi des lacs;Léman;SHL2;15/02/2017;15.0;15.0;;1.21
Suivi des lacs;Léman;SHL2;15/02/2017;20.0;20.0;;1.21
Suivi des lacs;Léman;SHL2;15/02/2017;30.0;30.0;;1.13
Suivi des lacs;Léman;SHL2;08/03/2017;0.0;0.0;;1.13
Suivi des lacs;Léman;SHL2;08/03/2017;1.0;1.0;;1.45
Suivi des lacs;Léman;SHL2;08/03/2017;2.5;2.5;;1.74
Suivi des lacs;Léman;SHL2;08/03/2017;3.5;3.5;;1.69
Suivi des lacs;Léman;SHL2;08/03/2017;5.0;5.0;;1.73
Suivi des lacs;Léman;SHL2;08/03/2017;7.5;7.5;;1.72
Suivi des lacs;Léman;SHL2;08/03/2017;10.0;10.0;;1.64
Suivi des lacs;Léman;SHL2;08/03/2017;15.0;15.0;;1.62
Suivi des lacs;Léman;SHL2;08/03/2017;20.0;20.0;;1.65
Suivi des lacs;Léman;SHL2;08/03/2017;30.0;30.0;;1.6
Suivi des lacs;Léman;SHL2;20/03/2017;0.0;0.0;;3.71
Suivi des lacs;Léman;SHL2;20/03/2017;1.0;1.0;;11.61
Suivi des lacs;Léman;SHL2;20/03/2017;2.5;2.5;;15
Suivi des lacs;Léman;SHL2;20/03/2017;3.5;3.5;;15.83
Suivi des lacs;Léman;SHL2;20/03/2017;5.0;5.0;;12.46
Suivi des lacs;Léman;SHL2;20/03/2017;7.5;7.5;;10.4
Suivi des lacs;Léman;SHL2;20/03/2017;10.0;10.0;;9.28
Suivi des lacs;Léman;SHL2;20/03/2017;15.0;15.0;;5.45
Suivi des lacs;Léman;SHL2;20/03/2017;20.0;20.0;;2.9
Suivi des lacs;Léman;SHL2;20/03/2017;30.0;30.0;;1.31
Suivi des lacs;Léman;SHL2;10/04/2017;0.0;0.0;;0.91
Suivi des lacs;Léman;SHL2;10/04/2017;1.0;1.0;;1.35
Suivi des lacs;Léman;SHL2;10/04/2017;2.5;2.5;;2.63
Suivi des lacs;Léman;SHL2;10/04/2017;3.5;3.5;;3.06
Suivi des lacs;Léman;SHL2;10/04/2017;5.0;5.0;;3.34
Suivi des lacs;Léman;SHL2;10/04/2017;7.5;7.5;;3.4
Suivi des lacs;Léman;SHL2;10/04/2017;10.0;10.0;;3.46
Suivi des lacs;Léman;SHL2;10/04/2017;15.0;15.0;;3.79
Suivi des lacs;Léman;SHL2;10/04/2017;20.0;20.0;;2.78
Suivi des lacs;Léman;SHL2;10/04/2017;30.0;30.0;;2.37
Suivi des lacs;Léman;SHL2;02/05/2017;0.0;0.0;;4.65
Suivi des lacs;Léman;SHL2;02/05/2017;1.0;1.0;;4.75
Suivi des lacs;Léman;SHL2;02/05/2017;2.5;2.5;;4.76
Suivi des lacs;Léman;SHL2;02/05/2017;3.5;3.5;;4.94
Suivi des lacs;Léman;SHL2;02/05/2017;5.0;5.0;;5.04
Suivi des lacs;Léman;SHL2;02/05/2017;7.5;7.5;;4.8
Suivi des lacs;Léman;SHL2;02/05/2017;10.0;10.0;;4.86
Suivi des lacs;Léman;SHL2;02/05/2017;15.0;15.0;;4.4
Suivi des lacs;Léman;SHL2;02/05/2017;20.0;20.0;;3.72
Suivi des lacs;Léman;SHL2;02/05/2017;30.0;30.0;;1.48
Suivi des lacs;Léman;SHL2;15/05/2017;0.0;0.0;;2.28
Suivi des lacs;Léman;SHL2;15/05/2017;1.0;1.0;;3.38
Suivi des lacs;Léman;SHL2;15/05/2017;2.5;2.5;;6.57
Suivi des lacs;Léman;SHL2;15/05/2017;3.5;3.5;;7.65
Suivi des lacs;Léman;SHL2;15/05/2017;5.0;5.0;;3.34
Suivi des lacs;Léman;SHL2;15/05/2017;7.5;7.5;;3.4
Suivi des lacs;Léman;SHL2;15/05/2017;10.0;10.0;;3.46
Suivi des lacs;Léman;SHL2;15/05/2017;15.0;15.0;;3.79
Suivi des lacs;Léman;SHL2;15/05/2017;20.0;20.0;;6.95
Suivi des lacs;Léman;SHL2;15/05/2017;30.0;30.0;;5.92
Suivi des lacs;Léman;SHL2;01/06/2017;0.0;0.0;;1.29
Suivi des lacs;Léman;SHL2;01/06/2017;1.0;1.0;;1.67
Suivi des lacs;Léman;SHL2;01/06/2017;2.5;2.5;;1.9
Suivi des lacs;Léman;SHL2;01/06/2017;3.5;3.5;;1.94
Suivi des lacs;Léman;SHL2;01/06/2017;5.0;5.0;;1.89
Suivi des lacs;Léman;SHL2;01/06/2017;7.5;7.5;;2.84
Suivi des lacs;Léman;SHL2;01/06/2017;10.0;10.0;;4.59
Suivi des lacs;Léman;SHL2;01/06/2017;15.0;15.0;;6.35
Suivi des lacs;Léman;SHL2;01/06/2017;20.0;20.0;;4.61
Suivi des lacs;Léman;SHL2;01/06/2017;30.0;30.0;;2.16
Suivi des lacs;Léman;SHL2;20/06/2017;0.0;0.0;;0.71
Suivi des lacs;Léman;SHL2;20/06/2017;1.0;1.0;;1.23
Suivi des lacs;Léman;SHL2;20/06/2017;2.5;2.5;;1.33
Suivi des lacs;Léman;SHL2;20/06/2017;3.5;3.5;;1.61
Suivi des lacs;Léman;SHL2;20/06/2017;5.0;5.0;;1.7
Suivi des lacs;Léman;SHL2;20/06/2017;7.5;7.5;;1.69
Suivi des lacs;Léman;SHL2;20/06/2017;10.0;10.0;;1.94
Suivi des lacs;Léman;SHL2;20/06/2017;15.0;15.0;;3.46
Suivi des lacs;Léman;SHL2;20/06/2017;20.0;20.0;;5.9
Suivi des lacs;Léman;SHL2;20/06/2017;30.0;30.0;;3.07
Suivi des lacs;Léman;SHL2;04/07/2017;0.0;0.0;;1.03
Suivi des lacs;Léman;SHL2;04/07/2017;1.0;1.0;;1.51
Suivi des lacs;Léman;SHL2;04/07/2017;2.5;2.5;;1.64
Suivi des lacs;Léman;SHL2;04/07/2017;3.5;3.5;;2.17
Suivi des lacs;Léman;SHL2;04/07/2017;5.0;5.0;;2.11
Suivi des lacs;Léman;SHL2;04/07/2017;7.5;7.5;;2.19
Suivi des lacs;Léman;SHL2;04/07/2017;10.0;10.0;;2.1
Suivi des lacs;Léman;SHL2;04/07/2017;15.0;15.0;;2.73
Suivi des lacs;Léman;SHL2;04/07/2017;20.0;20.0;;3.54
Suivi des lacs;Léman;SHL2;04/07/2017;30.0;30.0;;1.96
Suivi des lacs;Léman;SHL2;18/07/2017;0.0;0.0;;0.71
Suivi des lacs;Léman;SHL2;18/07/2017;1.0;1.0;;1.23
Suivi des lacs;Léman;SHL2;18/07/2017;2.5;2.5;;1.33
Suivi des lacs;Léman;SHL2;18/07/2017;3.5;3.5;;1.61
Suivi des lacs;Léman;SHL2;18/07/2017;5.0;5.0;;1.7
Suivi des lacs;Léman;SHL2;18/07/2017;7.5;7.5;;1.69
Suivi des lacs;Léman;SHL2;18/07/2017;10.0;10.0;;1.94
Suivi des lacs;Léman;SHL2;18/07/2017;15.0;15.0;;3.46
Suivi des lacs;Léman;SHL2;18/07/2017;20.0;20.0;;5.9
Suivi des lacs;Léman;SHL2;18/07/2017;30.0;30.0;;3.07
Suivi des lacs;Léman;SHL2;09/08/2017;0.0;0.0;;2.44
Suivi des lacs;Léman;SHL2;09/08/2017;1.0;1.0;;3.29
Suivi des lacs;Léman;SHL2;09/08/2017;2.5;2.5;;4.26
Suivi des lacs;Léman;SHL2;09/08/2017;3.5;3.5;;4.53
Suivi des lacs;Léman;SHL2;09/08/2017;5.0;5.0;;5.01
Suivi des lacs;Léman;SHL2;09/08/2017;7.5;7.5;;5.25
