"";"date";"profondeur";"Chl_a"
"240";2018-01-23;"30";1.93
"241";2018-02-14;"0";1.74
"242";2018-02-14;"1";1.88
"243";2018-02-14;"2.5";1.98
"244";2018-02-14;"3.5";2.09
"245";2018-02-14;"5";2.02
"246";2018-02-14;"7.5";2.02
"247";2018-02-14;"10";1.97
"248";2018-02-14;"15";2.02
"249";2018-02-14;"20";1.98
"250";2018-02-14;"30";2.03
"251";2018-03-06;"0";1.06
"252";2018-03-06;"1";1.22
"253";2018-03-06;"2.5";1.34
"254";2018-03-06;"3.5";1.4
"255";2018-03-06;"5";1.25
"256";2018-03-06;"7.5";1.5
"257";2018-03-06;"10";1.3
"258";2018-03-06;"15";1.32
"259";2018-03-06;"20";1.23
"260";2018-03-06;"30";1.43
"261";2018-03-26;"0";2.03
"262";2018-03-26;"1";2.44
"263";2018-03-26;"2.5";2.55
"264";2018-03-26;"3.5";2.44
"265";2018-03-26;"5";2.31
"266";2018-03-26;"7.5";2.16
"267";2018-03-26;"10";1.8
"268";2018-03-26;"15";1.85
"269";2018-03-26;"20";1.24
"270";2018-03-26;"30";1.52
"271";2018-04-09;"0";4.01
"272";2018-04-09;"1";7.85
"273";2018-04-09;"2.5";7.31
"274";2018-04-09;"3.5";8.85
"275";2018-04-09;"5";5.88
"276";2018-04-09;"7.5";5.96
"277";2018-04-09;"10";5.78
"278";2018-04-09;"15";3.58
"279";2018-04-09;"20";3.52
"280";2018-04-09;"30";1.77
"281";2018-04-23;"0";2.34
"282";2018-04-23;"1";5.13
"283";2018-04-23;"2.5";5.66
"284";2018-04-23;"3.5";5.07
"285";2018-04-23;"5";4.38
"286";2018-04-23;"7.5";5.28
"287";2018-04-23;"10";5.44
"288";2018-04-23;"15";4.76
"289";2018-04-23;"20";3.6
"290";2018-04-23;"30";2.34
"291";2018-05-15;"0";8.24
"292";2018-05-15;"1";9.02
"293";2018-05-15;"2.5";8.67
"294";2018-05-15;"3.5";11.03
"295";2018-05-15;"5";9.2
"296";2018-05-15;"7.5";9
"297";2018-05-15;"10";8.29
"298";2018-05-15;"15";9.19
"299";2018-05-15;"20";10.46
"300";2018-05-15;"30";2.88
"301";2018-05-28;"0";4.88
"302";2018-05-28;"1";6.92
"303";2018-05-28;"2.5";8.95
"304";2018-05-28;"3.5";8.99
"305";2018-05-28;"5";9.3
"306";2018-05-28;"7.5";11
"307";2018-05-28;"10";8.67
"308";2018-05-28;"15";4.13
"309";2018-05-28;"20";2.54
"310";2018-05-28;"30";1.43
"311";2018-06-12;"0";3.75
"312";2018-06-12;"1";5.52
"313";2018-06-12;"2.5";5.47
"314";2018-06-12;"3.5";6.51
"315";2018-06-12;"5";4.8
"316";2018-06-12;"7.5";6.15
"317";2018-06-12;"10";13.13
"318";2018-06-12;"15";16.21
"319";2018-06-12;"20";11.55
"320";2018-06-12;"30";2.65
"321";2018-07-02;"0";2.92
"322";2018-07-02;"1";4.51
"323";2018-07-02;"2.5";6.04
"324";2018-07-02;"3.5";6.14
"325";2018-07-02;"5";6.38
"326";2018-07-02;"7.5";5.62
"327";2018-07-02;"10";4.63
"328";2018-07-02;"15";3.46
"329";2018-07-02;"20";2.43
"330";2018-07-02;"30";1.91
"331";2018-07-17;"0";2.08
"332";2018-07-17;"1";2.85
"333";2018-07-17;"2.5";3.52
"334";2018-07-17;"3.5";3.99
"335";2018-07-17;"5";3.85
"336";2018-07-17;"7.5";5.46
"337";2018-07-17;"10";8.36
"338";2018-07-17;"15";7.11
"339";2018-07-17;"20";2.93
"340";2018-07-17;"30";1.41
"341";2018-07-30;"0";1.98
"342";2018-07-30;"1";2.39
"343";2018-07-30;"2.5";2.88
"344";2018-07-30;"3.5";2.89
"345";2018-07-30;"5";4.82
"346";2018-07-30;"7.5";7.43
"347";2018-07-30;"10";6.76
"348";2018-07-30;"15";6.1
"349";2018-07-30;"20";3.06
"350";2018-07-30;"30";1.38
"351";2018-08-22;"0";3.08
"352";2018-08-22;"1";3.04
"353";2018-08-22;"2.5";4.39
"354";2018-08-22;"3.5";4.9
"355";2018-08-22;"5";3.8
"356";2018-08-22;"7.5";5.54
"357";2018-08-22;"10";14.89
"358";2018-08-22;"15";12.18
"359";2018-08-22;"20";4.44
"360";2018-08-22;"30";1.4
"361";2018-09-12;"0";1.98
"362";2018-09-12;"1";2.39
"363";2018-09-12;"2.5";2.88
"364";2018-09-12;"3.5";2.89
"365";2018-09-12;"5";7.23
"366";2018-09-12;"7.5";10.41
"367";2018-09-12;"10";7.78
"368";2018-09-12;"15";0.57
"369";2018-09-12;"20";3.06
"370";2018-09-12;"30";1.38
"371";2018-09-26;"0";7.51
"372";2018-09-26;"1";7.2
"373";2018-09-26;"2.5";9.1
"374";2018-09-26;"3.5";11.26
"375";2018-09-26;"5";8.81
"376";2018-09-26;"7.5";7.21
"377";2018-09-26;"10";5.6
"378";2018-09-26;"15";2.41
"379";2018-09-26;"20";1.51
"380";2018-09-26;"30";0.67
"381";2018-10-09;"0";4.02
"382";2018-10-09;"1";4.17
"383";2018-10-09;"2.5";4.71
"384";2018-10-09;"3.5";4.16
"385";2018-10-09;"5";4.55
"386";2018-10-09;"7.5";3.8
"387";2018-10-09;"10";3.42
"388";2018-10-09;"15";2.74
"389";2018-10-09;"20";2.09
"390";2018-10-09;"30";1.1
"391";2018-10-24;"0";2.45
"392";2018-10-24;"1";2.77
"393";2018-10-24;"2.5";3.25
"394";2018-10-24;"3.5";3.274
"395";2018-10-24;"5";3.31
"396";2018-10-24;"7.5";3.24
"397";2018-10-24;"10";2.79
"398";2018-10-24;"15";1.32
"399";2018-10-24;"20";0.96
"400";2018-10-24;"30";0.38
"401";2018-11-12;"0";3.55
"402";2018-11-12;"1";4.3
"403";2018-11-12;"2.5";4.57
"404";2018-11-12;"3.5";4.58
"405";2018-11-12;"5";4.19
"406";2018-11-12;"7.5";3.62
"407";2018-11-12;"10";3.84
"408";2018-11-12;"15";3.06
"409";2018-11-12;"20";1.29
"410";2018-11-12;"30";0.45
"411";2018-11-28;"0";1.2
"412";2018-11-28;"1";1.02
"413";2018-11-28;"2.5";1.22
"414";2018-11-28;"3.5";3.13
"415";2018-11-28;"5";3.33
"416";2018-11-28;"7.5";3.53
"417";2018-11-28;"10";3.36
"418";2018-11-28;"15";1.03
"419";2018-11-28;"20";0.63
"420";2018-11-28;"30";0.21
"421";2018-12-18;"0";2.9
"422";2018-12-18;"1";2.876
"423";2018-12-18;"2.5";2.84
"424";2018-12-18;"3.5";2.944
"425";2018-12-18;"5";3.1
"426";2018-12-18;"7.5";2.75
"427";2018-12-18;"10";2.78
"428";2018-12-18;"15";2.75
"429";2018-12-18;"20";2.63
"430";2018-12-18;"30";1
"431";2019-02-14;"0";1.32
"432";2019-02-14;"1";1.545
"433";2019-02-14;"2.5";1.732
"434";2019-02-14;"3.5";2.011
"435";2019-02-14;"5";2.011
"436";2019-02-14;"7.5";2.02
"437";2019-02-14;"10";1.893
"438";2019-02-14;"15";1.96
"439";2019-02-14;"20";1.852
"440";2019-02-14;"30";1.898
"441";2019-03-06;"0";4.127
"442";2019-03-06;"1";4.337
"443";2019-03-06;"2.5";4.647
"444";2019-03-06;"3.5";4.992
"445";2019-03-06;"5";5.082
"446";2019-03-06;"7.5";5.008
"447";2019-03-06;"10";4.886
"448";2019-03-06;"15";4.674
"449";2019-03-06;"20";4.077
"450";2019-03-06;"30";4.269
"451";2019-03-21;"0";2.631
"452";2019-03-21;"1";3.109
"453";2019-03-21;"2.5";3.547
"454";2019-03-21;"3.5";3.652
"455";2019-03-21;"5";3.306
"456";2019-03-21;"7.5";3.358
"457";2019-03-21;"10";3.743
"458";2019-03-21;"15";3.332
"459";2019-03-21;"20";3.212
"460";2019-03-21;"30";2.631
"461";2019-04-01;"0";2.102
"462";2019-04-01;"1";6.268
"463";2019-04-01;"2.5";5.232
"464";2019-04-01;"3.5";4.289
"465";2019-04-01;"5";4.032
"466";2019-04-01;"7.5";4.007
"467";2019-04-01;"10";4.078
"468";2019-04-01;"15";4.343
"469";2019-04-01;"20";4.018
"470";2019-04-01;"30";2.929
"471";2019-04-23;"0";1.922
"472";2019-04-23;"1";2.002
"473";2019-04-23;"2.5";2.6
"474";2019-04-23;"3.5";3.471
"475";2019-04-23;"5";3.5
"476";2019-04-23;"7.5";5.5
"477";2019-04-23;"10";7.006
"478";2019-04-23;"15";7.152
"479";2019-04-23;"20";5.556
"480";2019-04-23;"30";3.165
"481";2019-05-20;"0";2.577
"482";2019-05-20;"1";3.573
"483";2019-05-20;"2.5";3.628
"484";2019-05-20;"3.5";3.772
"485";2019-05-20;"5";2.889
"486";2019-05-20;"7.5";2.721
"487";2019-05-20;"10";2.197
"488";2019-05-20;"15";1.579
"489";2019-05-20;"20";1.297
"490";2019-05-20;"30";1.071
"491";2019-06-03;"0";0.767
"492";2019-06-03;"1";1.031
"493";2019-06-03;"2.5";1.368
"494";2019-06-03;"3.5";4.124
"495";2019-06-03;"5";4.138
"496";2019-06-03;"7.5";4.475
"497";2019-06-03;"10";5.333
"498";2019-06-03;"15";4.7
"499";2019-06-03;"20";5.868
"500";2019-06-03;"30";2.453
"501";2019-06-26;"0";1.514
"502";2019-06-26;"1";2.025
"503";2019-06-26;"2.5";3.928
"504";2019-06-26;"3.5";4.39
"505";2019-06-26;"5";6.471
"506";2019-06-26;"7.5";10.153
"507";2019-06-26;"10";12.699
"508";2019-06-26;"15";5.454
"509";2019-06-26;"20";5.498
"510";2019-06-26;"30";3.312
"511";2019-07-11;"0";2.516
"512";2019-07-11;"1";2.7
"513";2019-07-11;"2.5";2.677
"514";2019-07-11;"3.5";2.854
"515";2019-07-11;"5";4.062
"516";2019-07-11;"7.5";6.053
"517";2019-07-11;"10";5.159
"518";2019-07-11;"15";2.864
"519";2019-07-11;"20";3.895
"520";2019-07-11;"30";1.387
"521";2019-07-24;"0";1.59
"522";2019-07-24;"1";3.855
"523";2019-07-24;"2.5";7.374
"524";2019-07-24;"3.5";4.494
"525";2019-07-24;"5";4.759
"526";2019-07-24;"7.5";5.65
"527";2019-07-24;"10";4.977
"528";2019-07-24;"15";5.977
"529";2019-07-24;"20";6.879
"530";2019-07-24;"30";2.373
"531";2019-08-05;"0";0.696
"532";2019-08-05;"1";1.371
"533";2019-08-05;"2.5";1.7
"534";2019-08-05;"3.5";1.987
"535";2019-08-05;"5";2.183
"536";2019-08-05;"7.5";4.404
"537";2019-08-05;"10";3.088
"538";2019-08-05;"15";8.779
"539";2019-08-05;"20";8.505
"540";2019-08-05;"30";1.902
"541";2019-09-04;"0";2.61
"542";2019-09-04;"1";2.6684
"543";2019-09-04;"2.5";2.756
"544";2019-09-04;"3.5";2.551
"545";2019-09-04;"5";2.735
"546";2019-09-04;"7.5";3.373
"547";2019-09-04;"10";3.853
"548";2019-09-04;"15";1.746
"549";2019-09-04;"20";1.295
"550";2019-09-04;"30";1.5
"551";2019-09-11;"0";1.339
"552";2019-09-11;"1";1.369
"553";2019-09-11;"2.5";1.313
"554";2019-09-11;"3.5";1.184
"555";2019-09-11;"5";1.988
"556";2019-09-11;"7.5";2.122
"557";2019-09-11;"10";2.471
"558";2019-09-11;"15";5.008
"559";2019-09-11;"20";5.595
"560";2019-09-11;"30";1.217
"561";2019-09-24;"0";1.671
"562";2019-09-24;"1";1.805
"563";2019-09-24;"2.5";1.735
"564";2019-09-24;"3.5";1.776
"565";2019-09-24;"5";1.78
"566";2019-09-24;"7.5";1.617
"567";2019-09-24;"10";1.67
"568";2019-09-24;"15";5.731
"569";2019-09-24;"20";4.03
"570";2019-09-24;"30";1.053
"571";2019-10-14;"0";2.712
"572";2019-10-14;"1";3
"573";2019-10-14;"2.5";3.438
"574";2019-10-14;"3.5";3.606
"575";2019-10-14;"5";3.45
"576";2019-10-14;"7.5";3.422
"577";2019-10-14;"10";3.706
"578";2019-10-14;"15";3.87
"579";2019-10-14;"20";3.656
"580";2019-10-14;"30";1.574
"581";2019-10-28;"0";5.265
"582";2019-10-28;"1";5.604
"583";2019-10-28;"2.5";5.328
"584";2019-10-28;"3.5";5.256
"585";2019-10-28;"5";4.98
"586";2019-10-28;"7.5";4.841
"587";2019-10-28;"10";4.503
"588";2019-10-28;"15";2.33
"589";2019-10-28;"20";1.655
"590";2019-10-28;"30";0.577
"591";2019-11-13;"0";6.35
"592";2019-11-13;"1";7.428
"593";2019-11-13;"2.5";7.437
"594";2019-11-13;"3.5";7.606
"595";2019-11-13;"5";7.597
"596";2019-11-13;"7.5";7.342
"597";2019-11-13;"10";7.244
"598";2019-11-13;"15";7.163
"599";2019-11-13;"20";7.163
"600";2019-11-13;"30";7.003
"601";2019-12-10;"0";6.603
"602";2019-12-10;"1";6.799
"603";2019-12-10;"2.5";7.114
"604";2019-12-10;"3.5";7.352
"605";2019-12-10;"5";7.567
"606";2019-12-10;"7.5";7.616
"607";2019-12-10;"10";7.167
"608";2019-12-10;"15";7.125
"609";2019-12-10;"20";6.932
"610";2019-12-10;"30";5.484
