"";"date";"profondeur";"Chl_a";"par";"Turbidite"
"59";2016-10-17;20.6;0.8;4.15;0.65
"60";2016-10-17;21.1;0.68;3.84;0.65
"61";2016-10-17;21.4;0.77;3.68;0.68
"62";2016-10-17;21.6;0.68;3.54;0.65
"63";2016-10-17;21.9;0.71;3.42;0.8
"64";2016-10-17;22.4;0.68;3.15;0.68
"65";2016-10-17;22.7;0.68;3.03;0.65
"66";2016-10-17;22.9;0.74;2.92;0.62
"67";2016-10-17;23.4;0.65;2.69;0.62
"68";2016-10-17;23.9;0.62;2.5;0.68
"69";2016-10-17;24.4;0.56;2.31;0.65
"70";2016-10-17;24.7;0.56;2.22;0.59
"71";2016-10-17;25;0.62;2.14;0.59
"72";2016-10-17;25.5;0.59;1.98;0.59
"73";2016-10-17;25.7;0.52;1.91;0.59
"74";2016-10-17;26.2;0.52;1.77;0.56
"75";2016-10-17;26.5;0.49;1.71;0.52
"76";2016-10-17;27;0.43;1.59;0.59
"77";2016-10-17;27.3;0.43;1.52;0.56
"78";2016-10-17;27.5;0.52;1.47;0.52
"79";2016-10-17;27.8;0.4;1.42;0.59
"80";2016-10-17;28.3;0.46;1.32;0.49
"81";2016-10-17;28.5;0.4;1.27;0.52
"82";2016-10-17;28.8;0.49;1.22;0.46
"83";2016-10-17;29.3;0.43;1.13;0.56
"84";2016-10-17;29.6;0.43;1.09;0.4
"85";2016-10-17;30.1;0.4;1.01;0.46
"86";2016-10-17;30.3;0.43;0.98;0.43
"87";2016-10-17;30.6;0.49;0.94;0.43
"88";2016-10-17;30.8;0.4;0.91;0.43
"89";2016-10-17;31.3;0.4;0.84;0.43
"90";2016-10-17;31.6;0.4;0.81;0.46
"91";2016-10-17;32.1;0.46;0.75;0.4
"92";2016-10-17;32.4;0.43;0.72;0.4
"93";2016-10-17;32.6;0.49;0.7;0.4
"94";2016-10-17;33.1;0.37;0.65;0.37
"95";2016-10-17;33.4;0.37;0.63;0.31
"96";2016-10-17;33.7;0.43;0.6;0.37
"97";2016-10-17;34.2;0.43;0.56;0.34
"98";2016-10-17;34.4;0.56;0.54;0.31
"99";2016-10-17;34.7;0.56;0.52;0.37
"100";2016-10-17;34.9;0.43;0.51;0.31
"101";2016-10-17;35.4;0.34;0.47;0.31
"102";2016-10-17;36;0.43;0.44;0.31
"103";2016-10-17;36.5;0.43;0.41;0.31
"104";2016-10-17;37;0.34;0.38;0.28
"105";2016-10-17;37.2;0.37;0.37;0.34
"106";2016-10-17;37.8;0.46;0.34;0.31
"107";2016-10-17;38;0.37;0.33;0.34
"108";2016-10-17;38.5;0.34;0.31;0.37
"109";2016-10-17;38.8;0.31;0.3;0.28
"110";2016-10-17;39;0.31;0.29;0.31
"111";2016-10-17;39.3;0.34;0.28;0.34
"112";2016-10-17;39.6;0.31;0.28;0.37
"113";2016-10-17;40.1;0.37;0.26;0.25
"114";2016-10-17;40.6;0.31;0.24;0.28
"115";2016-10-17;40.8;0.28;0.24;0.31
"116";2016-10-17;41.1;0.28;0.23;0.34
"117";2016-10-17;41.3;0.28;0.22;0.28
"118";2016-10-17;41.6;0.28;0.22;0.31
"119";2016-10-17;41.8;0.25;0.21;0.28
"120";2016-10-17;42.1;0.25;0.2;0.31
"121";2016-10-17;42.6;0.37;0.19;0.34
"122";2016-10-17;42.9;0.25;0.19;0.37
"123";2016-10-17;43.4;0.22;0.18;0.37
"124";2016-10-17;43.9;0.22;0.17;0.37
"125";2016-10-17;44.4;0.25;0.16;0.31
"126";2016-10-17;44.7;0.22;0.15;0.31
"127";2016-10-17;44.9;0.25;0.15;0.28
"128";2016-10-17;45.2;0.22;0.14;0.31
"129";2016-10-17;45.7;0.22;0.14;0.28
"130";2016-10-17;45.9;0.22;0.13;0.4
"131";2016-10-17;46.2;0.22;0.13;0.31
"132";2016-10-17;46.4;0.28;0.13;0.37
"133";2016-10-17;46.7;0.22;0.12;0.34
"134";2016-10-17;47.2;0.18;0.11;0.28
"135";2016-10-17;47.5;0.22;0.11;0.31
"136";2016-10-17;48;0.22;0.1;0.37
"137";2016-10-17;48.5;0.22;0.1;0.31
"138";2016-10-17;49;0.22;0.09;0.31
"139";2016-10-17;49.3;0.18;0.09;0.28
"140";2016-10-17;49.5;0.22;0.09;0.37
"141";2016-10-17;50;0.18;0.08;0.25
"142";2016-10-17;50.5;0.18;0.08;0.25
"143";2016-10-17;50.8;0.18;0.08;0.31
"144";2016-10-17;51.3;0.25;0.07;0.31
"145";2016-10-17;51.6;0.18;0.07;0.28
"146";2016-10-17;52.1;0.22;0.07;0.28
"147";2016-10-17;52.6;0.18;0.06;0.28
"148";2016-10-17;52.8;0.15;0.06;0.31
"149";2016-10-17;53.1;0.18;0.06;0.28
"150";2016-10-17;53.4;0.18;0.06;0.34
"151";2016-10-17;53.6;0.18;0.06;0.25
"152";2016-10-17;53.9;0.15;0.06;0.25
"153";2016-10-17;54.1;0.15;0.05;0.31
"154";2016-10-17;54.6;0.15;0.05;0.25
"155";2016-10-17;55.1;0.18;0.05;0.25
"156";2016-10-17;55.4;0.22;0.05;0.31
"157";2016-10-17;55.7;0.15;0.05;0.22
"158";2016-10-17;56.2;0.22;0.04;0.37
"159";2016-10-17;56.7;0.18;0.04;0.4
"160";2016-10-17;56.9;0.15;0.04;0.28
"161";2016-10-17;57.2;0.12;0.04;0.28
"162";2016-10-17;57.5;0.15;0.04;0.28
"163";2016-10-17;58;0.18;0.04;0.31
"164";2016-10-17;58.2;0.15;0.04;0.28
"165";2016-10-17;58.5;0.15;0.03;0.25
"166";2016-10-17;58.7;0.12;0.03;0.31
"167";2016-10-17;59.2;0.12;0.03;0.25
"168";2016-10-17;59.5;0.12;0.03;0.31
"169";2016-10-17;59.8;0.12;0.03;0.31
"170";2016-10-17;60;0.15;0.03;0.28
"171";2016-10-17;60.5;0.22;0.03;0.28
"172";2016-10-17;61.1;0.12;0.03;0.25
"173";2016-10-17;61.6;0.12;0.02;0.31
"174";2016-10-17;62.1;0.09;0.02;0.28
"175";2016-10-17;62.6;0.12;0.02;0.34
"176";2016-10-17;63.1;0.12;0.02;0.28
"177";2016-10-17;63.3;0.12;0.02;0.37
"178";2016-10-17;63.6;0.22;0.02;0.34
"179";2016-10-17;64.1;0.12;0.02;0.25
"180";2016-10-17;64.4;0.09;0.02;0.25
"181";2016-10-17;64.6;0.09;0.02;0.25
"182";2016-10-17;64.9;0.09;0.02;0.25
"183";2016-10-17;65.4;0.06;0.02;0.34
"184";2016-10-17;65.7;0.09;0.02;0.34
"185";2016-10-17;66.2;0.09;0.02;0.31
"186";2016-10-17;66.7;0.0360000000000005;0.01;0.31
"187";2016-10-17;66.9;0.0480000000000007;0.01;0.28
"188";2016-10-17;67.2;0.0499999999999995;0.01;0.28
"189";2016-10-17;67.7;0.03;0.01;0.31
"190";2016-10-17;68;0.03;0.01;0.4
"191";2016-10-17;68.5;0.0359999999999997;0.01;0.25
"192";2016-10-17;68.7;0.0479999999999998;0.01;0.28
"193";2016-10-17;69;0.06;0.01;0.28
"194";2016-10-17;69.5;0.0500000000000005;0.01;0.46
"195";2016-10-17;69.7;0.03;0.01;0.34
"196";2016-10-17;70.2;0.06;0.01;0.28
"197";2016-10-17;70.5;0.03;0.01;0.31
"198";2016-10-17;71;0.03;0.01;0.28
"199";2016-10-17;71.3;0.03;0.01;0.31
"200";2016-10-17;71.5;0.03;0.01;0.37
"201";2016-10-17;72;0.03;0.01;0.28
"202";2016-10-17;72.3;0.0479999999999998;0.01;0.25
"203";2016-10-17;72.8;0.0420000000000002;0.01;0.28
"204";2016-10-17;73.1;0.0359999999999997;0.01;0.34
"205";2016-10-17;73.3;0.0479999999999998;0.01;0.25
"206";2016-10-17;73.6;0.06;0.01;0.28
"207";2016-10-17;74.1;0.03;0.01;0.25
"208";2016-10-17;74.4;0.03;0.01;0.31
"209";2016-10-17;74.9;0.03;0.01;0.25
"210";2016-10-17;75.1;0.03;0.01;0.25
"211";2016-10-17;75.6;0.03;0.01;0.25
"212";2016-10-17;75.9;0.03;0.01;0.28
"213";2016-10-17;76.2;0.03;0;0.28
"214";2016-10-17;76.7;0.0400000000000005;0;0.31
"215";2016-10-17;76.9;0.06;0;0.43
"216";2016-10-17;77.2;0.03;0;0.25
"217";2016-10-17;77.7;0.0400000000000005;0;0.22
"218";2016-10-17;77.9;0.06;0;0.34
"219";2016-10-17;78.5;0.03;0;0.31
"220";2016-10-17;79;0.0500000000000005;0;0.31
"221";2016-10-17;79.2;0.03;0;0.22
"222";2016-10-17;79.5;0.03;0;0.25
"223";2016-10-17;79.7;0.03;0;0.4
"224";2016-10-17;80;0.03;0;0.34
"225";2016-10-17;80.5;0.03;0;0.28
"226";2016-10-17;80.8;0.0359999999999997;0;0.25
"227";2016-10-17;81;0.0479999999999998;0;0.31
"228";2016-10-17;81.3;0.06;0;0.22
"229";2016-10-17;81.5;0.06;0;0.25
"230";2016-10-17;82;0.03;0;0.34
"231";2016-10-17;82.3;0.03;0;0.25
"232";2016-10-17;82.6;0.03;0;0.31
"233";2016-10-17;83.1;0.03;0;0.28
"234";2016-10-17;83.6;0.03;0;0.34
"235";2016-10-17;84.1;0.03;0;0.25
"236";2016-10-17;84.4;0.03;0;0.25
"237";2016-10-17;84.9;0.0400000000000009;0;0.28
"238";2016-10-17;85.1;0.06;0;0.28
"239";2016-10-17;85.4;0.06;0;0.25
"240";2016-10-17;85.9;0.03;0;0.4
"241";2016-10-17;86.1;0.03;0;0.25
"242";2016-10-17;86.6;0.0479999999999998;0;0.22
"243";2016-10-17;86.9;0.0499999999999991;0;0.31
"244";2016-10-17;87.2;0.03;0;0.28
"245";2016-10-17;87.7;0.0400000000000005;0;0.25
"246";2016-10-17;88.2;0.03;0;0.25
"247";2016-10-17;88.4;0.03;0;0.31
"248";2016-10-17;88.7;0.0400000000000005;0;0.37
"249";2016-10-17;89;0.06;0;0.28
"250";2016-10-17;89.5;0.03;0;0.31
"251";2016-10-17;90;0.03;0;0.28
"252";2016-10-17;90.2;0.03;0;0.37
"253";2016-10-17;90.5;0.03;0;0.28
"254";2016-10-17;91.1;0.0400000000000009;0;0.28
"255";2016-10-17;91.6;0.0400000000000009;0;0.31
"256";2016-10-17;92.1;0.0359999999999997;0;0.28
"257";2016-10-17;92.6;0.0540000000000003;0;0.31
"258";2016-10-17;93;0.03;0;0.31
"259";2016-10-17;93.6;0.0420000000000002;0;0.52
"260";2016-10-17;93.8;0.03;0;0.28
"261";2016-10-17;94.1;0.03;0;0.28
"262";2016-10-17;94.6;0.0479999999999998;0;0.4
"263";2016-10-17;94.8;0.06;0;0.22
"264";2016-10-17;95.1;0.06;0;0.28
"265";2016-10-17;95.6;0.03;0;0.25
"266";2016-10-17;96.1;0.03;0;0.25
"267";2016-10-17;96.6;0.09;0;0.25
"268";2016-10-17;96.9;0.0539999999999986;0;0.28
"269";2016-10-17;97.2;0.0400000000000005;0;0.28
"270";2016-10-17;97.7;0.0400000000000005;0;0.25
"271";2016-10-17;98.2;0.03;0;0.28
"272";2016-10-17;98.7;0.0400000000000005;0;0.22
"273";2016-10-17;99.2;0.06;0;0.34
"274";2016-10-17;99.5;0.0500000000000005;0;0.25
"275";2016-10-17;100;0.0479999999999998;0;0.25
"276";2016-10-17;100.2;0.06;0;0.22
"277";2016-10-17;100.5;0.0500000000000005;0;0.28
"278";2016-10-17;101;0.06;0;0.19
"279";2016-10-17;101.2;1.25104208416834;0;0.22
"280";2016-10-17;101.8;1.30576470588235;0;0.28
"281";2016-10-17;102.3;1.5685283018868;0;0.25
"282";2016-10-17;102.5;1.43284;0;0.43
"283";2016-10-17;103;1.31429090909091;0;0.43
"284";2016-10-17;103.3;1.33955102040816;0;0.28
"285";2016-10-17;103.8;1.30362264150944;0;0.22
"286";2016-10-17;104.3;1.21496078431373;0;0.28
"287";2016-10-17;104.6;1.2973725490196;0;0.28
"288";2016-10-17;105.1;0.381338582677167;0;0.25
"289";2016-10-17;105.3;0.347352941176468;0;0.25
"290";2016-10-17;105.6;0.435588235294116;0;0.34
"291";2016-10-17;105.8;0.488301886792453;0;0.31
"292";2016-10-17;106.1;0.46;0;0.34
"293";2016-10-17;106.4;0.448823529411765;0;0.25
"294";2016-10-17;106.6;0.425200000000001;0;0.34
"295";2016-10-17;107.1;0.37;0;0.28
"296";2016-10-17;107.4;0.395471698113208;0;0.28
"297";2016-10-17;108;0.411764705882352;0;0.28
"298";2016-10-17;108.4;0.396037735849055;0;0.22
"299";2016-10-17;108.7;0.362075471698112;0;0.22
"300";2016-10-17;109.2;0.397187500000001;0;0.22
"301";2016-10-17;109.7;0.502352941176471;0;0.22
"302";2016-10-17;110;0.446764705882353;0;0.25
"303";2016-10-17;110.5;0.500000000000001;0;0.4
"304";2016-10-17;111;0.40920245398773;0;0.15
"305";2016-10-17;111.5;0.430792452830189;0;0.34
"306";2016-10-17;111.7;0.374941176470588;0;0.25
"307";2016-10-17;112;0.445529411764707;0;0.22
"308";2016-10-17;112.3;0.450823529411765;0;0.19
"309";2016-10-17;112.5;0.406109090909091;0;0.22
"310";2016-10-17;112.8;0.439152542372882;0;0.31
"311";2016-10-17;113;0.461751412429379;0;0.31
"312";2016-10-17;113.3;0.48360341151386;0;0.31
"313";2016-10-17;113.6;0.445223880597015;0;0.22
"314";2016-10-17;114.1;0.432705882352942;0;0.19
"315";2016-10-17;114.3;0.414352941176469;0;0.19
"316";2016-10-17;114.8;0.46;0;0.22
"317";2016-10-17;115.1;0.44279245283019;0;0.19
"318";2016-10-17;115.4;0.413903966597078;0;0.25
"319";2016-10-17;115.8;0.463764705882353;0;0.28
"320";2016-10-17;116.1;0.481283018867925;0;0.25
"321";2016-10-17;116.6;0.493799582463465;0;0.28
"322";2016-10-17;117.1;0.541568627450982;0;0.19
"323";2016-10-17;117.4;0.427529411764706;0;0.28
"324";2016-10-17;117.7;0.401018867924528;0;0.22
"325";2016-10-17;118.1;0.405999999999999;0;0.25
"326";2016-10-17;118.4;0.47905882352941;0;0.31
"327";2016-10-17;118.7;0.426117647058823;0;0.31
"328";2016-10-17;119.2;0.59;0;0.46
"329";2016-10-17;119.7;0.464102040816327;0;0.31
"330";2016-10-17;120.2;0.5264;0;0.19
"331";2016-10-17;120.4;0.619239999999996;0;0.15
"332";2016-10-17;120.7;0.505239999999997;0;0.22
"333";2016-10-17;121.2;0.600434782608696;0;0.25
"334";2016-10-17;121.7;0.516666666666665;0;0.25
"335";2016-10-17;122;0.403803680981595;0;0.19
"336";2016-10-17;122.5;0.455764705882351;0;0.15
"337";2016-10-17;122.8;0.479924528301889;0;0.22
"338";2016-10-17;123;0.436235294117647;0;0.37
"339";2016-10-17;123.5;0.480618181818181;0;0.22
"340";2016-10-17;124;0.397183673469387;0;0.28
"341";2016-10-17;124.3;0.42389090909091;0;0.22
"342";2016-10-17;124.6;0.565711645101663;0;0.31
"343";2016-10-17;125.1;0.564279475982534;0;0.19
"344";2016-10-17;125.6;0.41054054054054;0;0.22
"345";2016-10-17;125.8;0.43;0;0.34
"346";2016-10-17;126.1;0.43;0;0.15
"347";2016-10-17;126.6;0.468793456032718;0;0.15
"348";2016-10-17;126.9;0.530143149284254;0;0.15
"349";2016-10-17;127.1;0.533609022556396;0;0.28
"350";2016-10-17;127.4;0.439962264150944;0;0.62
"351";2016-10-17;127.9;0.479000000000001;0;0.34
"352";2016-10-17;128.4;0.417538461538462;0;0.22
"353";2016-10-17;128.9;0.588282208588957;0;0.37
"354";2016-10-17;129.2;0.569877300613498;0;0.15
"355";2016-10-17;129.4;0.535529411764698;0;0.22
"356";2016-10-17;129.7;0.394960000000002;0;0.19
"357";2016-10-17;130;0.376960000000001;0;0.19
"358";2016-10-17;130.5;0.46;0;0.19
"359";2016-10-17;131;0.494352941176469;0;0.31
"360";2016-10-17;131.2;0.447294117647062;0;0.19
"361";2016-10-17;131.7;0.417622789783889;0;0.22
"362";2016-10-17;132.2;0.384117647058823;0;0.25
"363";2016-10-17;132.8;0.431262525050099;0;0.19
"364";2016-10-17;133.3;0.466909090909095;0;0.22
"365";2016-10-17;133.5;0.550000000000002;0;0.25
"366";2016-10-17;133.8;0.474999999999996;0;0.25
"367";2016-10-17;134.3;0.389999999999999;0;0.25
"368";2016-10-17;134.5;0.365471698113208;0;0.15
"369";2016-10-17;134.8;0.380909090909099;0;0.15
"370";2016-10-17;135.3;0.453265306122448;0;0.19
"371";2016-10-17;135.6;0.481999999999997;0;0.22
"372";2016-10-17;136.1;0.4942;0;0.31
"373";2016-10-17;136.3;0.506200000000001;0;0.15
"374";2016-10-17;136.8;0.490545454545454;0;0.34
"375";2016-10-17;137.1;0.533110647181628;0;0.15
"376";2016-10-17;137.6;0.475647058823529;0;0.34
"377";2016-10-17;138.1;0.389300699300702;0;0.25
"378";2016-10-17;138.4;0.34398773006135;0;0.19
"379";2016-10-17;138.9;0.37;0;0.25
"380";2016-10-17;139.2;0.393286713286711;0;0.28
"381";2016-10-17;139.4;0.426801705756929;0;0.25
"382";2016-10-17;139.7;0.388422174840086;0;0.31
"383";2016-10-17;140.2;0.509176470588241;0;0.19
"384";2016-10-17;140.4;0.403120000000001;0;0.12
"385";2016-10-17;140.7;0.439119999999999;0;0.49
"386";2016-10-17;141;0.550339622641508;0;0.22
"387";2016-10-17;141.2;0.634140000000006;0;0.15
"388";2016-10-17;141.7;0.493381818181825;0;0.28
"389";2016-10-17;142;0.389882352941175;0;0.28
"390";2016-10-17;142.2;0.366352941176472;0;0.12
"391";2016-10-17;142.5;0.358276553106211;0;0.19
"392";2016-10-17;142.8;0.430420841683369;0;0.15
"393";2016-10-17;143.2;0.45223529411765;0;0.15
"394";2016-10-17;143.5;0.40152941176471;0;0.19
"395";2016-10-17;143.8;0.439283018867917;0;0.22
"396";2016-10-17;144.3;0.37;0;0.31
"397";2016-10-17;144.5;0.37222;0;0.12
"398";2016-10-17;145;0.391927272727272;0;0.31
"399";2016-10-17;145.6;0.403882352941177;0;0.15
"400";2016-10-17;145.8;0.411647058823522;0;0.15
"401";2016-10-17;146.1;0.34;0;0.19
"402";2016-10-17;146.6;0.329018867924528;0;0.22
"403";2016-10-17;146.8;0.317384615384618;0;0.15
"404";2016-10-17;147.1;0.386615384615382;0;0.25
"405";2016-10-17;147.6;0.373529411764699;0;0.22
"406";2016-10-17;147.9;0.429999999999997;0;0.25
"407";2016-10-17;148.1;0.34;0;0.28
"408";2016-10-17;148.4;0.34;0;0.19
"409";2016-10-17;148.6;0.338343558282209;0;0.15
"410";2016-10-17;149.2;0.355163636363633;0;0.15
"411";2016-10-17;149.6;0.4;0;0.19
"412";2016-10-17;149.9;0.3928679245283;0;0.22
"413";2016-10-17;150.2;0.335411764705887;0;0.22
"414";2016-10-17;150.4;0.285058823529413;0;0.15
"415";2016-10-17;150.7;0.29964705882353;0;0.15
"416";2016-10-17;150.9;0.285711538461541;0;0.12
"417";2016-10-17;151.4;0.368470588235293;0;0.15
"418";2016-10-17;151.7;0.360470588235292;0;0.15
"419";2016-10-17;152.2;0.517176470588235;0;0.19
"420";2016-10-17;152.5;0.499529411764706;0;0.15
"421";2016-10-17;152.7;0.463176470588247;0;0.15
"422";2016-10-17;153.3;0.557207547169808;0;0.15
"423";2016-10-17;153.5;0.482588235294119;0;0.15
"424";2016-10-17;154;0.426813627254509;0;0.19
"425";2016-10-17;154.3;0.40877755511022;0;0.12
"426";2016-10-17;154.5;0.423478260869565;0;0.12
"427";2016-10-17;155;0.502944785276074;0;0.25
"428";2016-10-17;155.3;0.439622641509432;0;0.12
"429";2016-10-17;155.5;0.337176470588235;0;0.19
"430";2016-10-17;155.8;0.337865384615391;0;0.12
"431";2016-10-17;156.3;0.517117647058823;0;0.19
"432";2016-10-17;156.8;0.468727272727265;0;0.19
"433";2016-10-17;157.3;0.372326530612246;0;0.12
"434";2016-10-17;157.6;0.4;0;0.19
"435";2016-10-17;157.8;0.4;0;0.09
"436";2016-10-17;158.1;0.459782608695647;0;0.09
"437";2016-10-17;158.4;0.584509433962258;0;0.09
"438";2016-10-17;158.9;0.425678496868475;0;0.09
"439";2016-10-17;159.4;0.368235294117645;0;0.12
"440";2016-10-17;159.9;0.471176470588232;0;0.12
"441";2016-10-17;160.1;0.419510489510487;0;0.22
"442";2016-10-17;160.4;0.32406813627255;0;0.22
"443";2016-10-17;160.7;0.43228456913827;0;0.15
"444";2016-10-17;161.2;0.18461818181818;0;0.09
"445";2016-10-17;161.7;0.381297872340421;0;0.22
"446";2016-10-17;162.2;0.165490605427974;0;0.12
"447";2016-10-17;162.5;0.209331941544884;0;0.09
"448";2016-10-17;162.7;0.186452830188683;0;0.31
"449";2016-10-17;163.2;0.171294117647058;0;0.15
"450";2016-10-17;163.8;0.18;0;0.19
"451";2016-10-17;164.3;0.128343558282207;0;0.12
"452";2016-10-17;164.5;0.218352941176476;0;0.19
"453";2016-10-17;165;0.15;0;0.12
"454";2016-10-17;165.3;0.15;0;0.12
"455";2016-10-17;165.8;0.15822;0;0.19
"456";2016-10-17;166.1;0.176219999999999;0;0.12
"457";2016-10-17;166.6;0.12;0;0.25
"458";2016-10-17;166.8;0.125938775510204;0;0.25
"459";2016-10-17;167.1;0.144306122448979;0;0.19
"460";2016-10-17;167.3;0.13788679245283;0;0.15
"461";2016-10-17;167.8;0.558455114822538;0;0.12
"462";2016-10-17;168.1;0.282881002087681;0;0.12
"463";2016-10-17;168.4;0.157882352941177;0;0.15
"464";2016-10-17;168.6;0.118705882352945;0;0.15
"465";2016-10-17;169.1;0.147849056603773;0;0.31
"466";2016-10-17;169.6;0.138692307692308;0;0.37
"467";2016-10-17;169.9;0.136560000000001;0;0.4
"468";2016-10-17;170.2;0.172559999999999;0;0.09
"469";2016-10-17;170.7;0.213294117647057;0;0.19
"470";2016-10-17;171.2;0.140352941176469;0;0.12
"471";2016-10-17;171.4;0.136117647058824;0;0.12
"472";2016-10-17;171.7;0.12;0;0.15
"473";2016-10-17;171.9;0.131529411764708;0;0.12
"474";2016-10-17;172.2;0.311199999999997;0;0.19
"475";2016-10-17;172.5;0.348;0;0.09
"476";2016-10-17;173;0.129115384615384;0;0.19
"477";2016-10-17;173.2;0.140653846153845;0;0.15
"478";2016-10-17;173.7;0.198384458077708;0;0.15
"479";2016-10-17;174;0.183521657250471;0;0.12
"480";2016-10-17;174.5;0.0970941883767533;0;0.15
"481";2016-10-17;174.8;0.115130260521043;0;0.09
"482";2016-10-17;175;0.148;0;0.12
"483";2016-10-17;175.5;0.161647058823528;0;0.09
"484";2016-10-17;176;0.33444897959184;0;0.15
"485";2016-10-17;176.5;0.212641509433964;0;0.19
"486";2016-10-17;176.8;0.15;0;0.12
"487";2016-10-17;177.3;0.199999999999998;0;0.12
"488";2016-10-17;177.8;0.10116;0;0.12
"489";2016-10-17;178.1;0.119159999999999;0;0.19
"490";2016-10-17;178.6;0.101823529411765;0;0.12
"491";2016-10-17;179.1;0.10854;0;0.12
"492";2016-10-17;179.4;0.0905399999999992;0;0.19
"493";2016-10-17;179.9;0.09;0;0.22
"494";2016-10-17;180.4;0.12;0;0.12
"495";2016-10-17;180.6;0.12;0;0.12
"496";2016-10-17;180.9;0.12;0;0.19
"497";2016-10-17;181.2;0.105828220858896;0;0.15
"498";2016-10-17;181.7;0.117293233082707;0;0.25
"499";2016-10-17;182.2;0.0907975460122702;0;0.19
"500";2016-10-17;182.4;0.110400000000001;0;0.19
"501";2016-10-17;182.9;0.12;0;0.22
"502";2016-10-17;183.2;0.096;0;0.19
"503";2016-10-17;183.4;0.09;0;0.15
"504";2016-10-17;183.7;0.133471698113205;0;0.09
"505";2016-10-17;184;0.124301886792454;0;0.12
"506";2016-10-17;184.3;0.103959183673469;0;0.09
"507";2016-10-17;184.8;0.09;0;0.12
"508";2016-10-17;185.3;0.119235294117648;0;0.15
"509";2016-10-17;185.5;0.12;0;0.25
"510";2016-10-17;185.8;0.12;0;0.12
"511";2016-10-17;186.3;0.0919038461538454;0;0.12
"512";2016-10-17;186.8;0.09;0;0.12
"513";2016-10-17;187;0.108040540540541;0;0.19
"514";2016-10-17;187.3;0.12;0;0.22
"515";2016-10-17;187.6;0.12;0;0.15
"516";2016-10-17;187.8;0.109227557411272;0;0.19
"517";2016-10-17;188.3;0.09;0;0.12
"518";2016-10-17;188.8;0.11508;0;0.09
"519";2016-10-17;189.3;0.09;0;0.12
"520";2016-10-17;189.6;0.09;0;0.37
"521";2016-10-17;190.1;0.116510204081632;0;0.12
"522";2016-10-17;190.4;0.12;0;0.19
"523";2016-10-17;190.6;0.12;0;0.15
"524";2016-10-17;190.9;0.0958867924528296;0;0.12
"525";2016-10-17;191.4;0.09;0;0.25
"526";2016-10-17;191.7;0.09;0;0.31
"527";2016-10-17;192.2;0.119038076152303;0;0.12
