date,B0,chl_max,z_max,sig
2001-08-23,3.8057292600318546,7.34643706035991,13.194722474012632,6.014006244016866
2006-08-23,1.8318373838337514,5.289245665917585,14.411470426873272,8.582609455807505
2011-08-23,2.1844022850409745e-05,5.713212425833535,9.86486455498541,12.336470416976866
2016-08-23,1.8269477601813027,5.169965164643722,12.684881646674027,5.922087456062876
1976-09-23,1.4695399758358865,5.749257054515136,7.2743492069458275,8.250562014233337
1981-09-23,0.8434362802206901,8.663393877240543,5.246585394542176,7.705249245037708
1986-09-23,0.3420898416104698,7.861302222139794,4.035346554332871,9.06988049568305
1991-09-23,0.5985799532049704,4.5873729614903285,6.088605521182222,9.371844178455923
1996-09-23,1.6328733756223586,9.17932014233526,7.8913957112122946,7.880525967652657
2001-09-23,0.7125439461326314,5.47910378302342,7.292792900877262,7.365428467320988
